session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,Ethnicity (Simplified),First Language,Nationality,Sex,Student Status
619f7b95c913be71f08c4b73,5c3c7913b4f22c0001a0809c,RETURNED,2021-11-25 12:03:37.742000,,339362.359046,69,2082,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
619f7bb9a38fa82b75cf5c47,5f3e5e066dfaa70464615447,AWAITING REVIEW,2021-11-25 12:04:17.388000,2021-11-25 12:07:42.763000,205.375,45,888,12,96,,2DF4A6D7,United States,United States,Full-Time,Black,English,United States,Female,No
619f7c350ec0442b980e9e9e,608437f0b139060610c9f0c1,AWAITING REVIEW,2021-11-25 12:06:18.269000,2021-11-25 12:47:21.758000,2463.489,75,298,0,100,,E11857CB,United States,United States,DATA EXPIRED,White,English,United States,Female,DATA EXPIRED
619f7cc3911013928499f7e1,6137ebb74197e0473d1318e3,AWAITING REVIEW,2021-11-25 12:09:23.738000,2021-11-25 12:45:12.654000,2148.916,51,313,1,100,,E11857CB,United States,United States,Full-Time,White,English,United States,Male,No
619f7d0b48b718f5fcb62717,5cab944b41de360017e2c3db,AWAITING REVIEW,2021-11-25 12:10:08.881000,2021-11-25 13:03:02.379000,3173.498,28,1734,0,100,,E11857CB,United States,United States,Full-Time,Other,English,United States,Female,No
619f7d53e5310954c3de588f,5f98ab718920801c578363ab,AWAITING REVIEW,2021-11-25 12:11:05.979000,2021-11-25 13:11:47.684000,3641.705,40,760,2,100,,E11857CB,United States,United States,DATA EXPIRED,Black,English,United States,Female,No
619f7d5cac3f1e6504e191a9,5fb2041681fe9376804e1249,AWAITING REVIEW,2021-11-25 12:15:53.155000,2021-11-25 12:50:23.744000,2070.589,39,567,1,100,,E11857CB,United States,United States,Full-Time,Asian,English,United States,Female,No
619f7d998f1b49e4e92ce4a1,5f4274ec9523810688a90642,AWAITING REVIEW,2021-11-25 12:12:12.462000,2021-11-25 13:09:07.210000,3414.748,84,54,0,100,,E11857CB,Ukraine,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,Russian,Ukraine,Male,No
619f7d9df898ab7abcbe15e8,55b6e53bfdf99b438f10e3bb,AWAITING REVIEW,2021-11-25 12:12:13.706000,2021-11-25 12:45:24.661000,1990.955,49,634,6,99,,E11857CB,United States,United States,Part-Time,Asian,English,United States,Male,No
619f7da4e5310954c3de5890,5d8a64630ffb9c001746ca2c,AWAITING REVIEW,2021-11-25 12:12:20.397000,2021-11-25 12:56:06.717000,2626.32,62,2198,6,100,,E11857CB,United States,United States,Full-Time,Asian,English,United States,Male,No
